Название товара;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика оборота, %;Заказано, штуки;Минимальная цена, ₽;Средняя цена, ₽;Упущенные продажи, ₽;Доступность, %;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Сроки доставки, дни;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Просмотры в поиске и каталоге;Просмотры карточки;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
Джинсы Lesedi La Rona;https://www.ozon.ru/product/1504618107;Lesedi La Rona;Одежда;Джинсы;Да;338059;3;187;1;1808;176189;64;17619;10;FBO,FBS;5;0.4;22.6;32.4;60999;5609;0.06;9.02;6.4;43.6;2024-03-27
Куртка Fila;https://www.ozon.ru/product/1696388938;Fila;Одежда;Куртка;Да;338056;Нет данных;29;9517;11657;12119;96;12119;1;FBO;4;39.6;20.9;29.7;13602;1169;0.04;8.38;0.2;51.7;2024-09-18
Кардиган BENIFIQUE Женская коллекция;https://www.ozon.ru/product/1673288750;BENIFIQUE;Одежда;Кардиган;Да;338047;24;191;1243;1770;0;100;11402;6;FBO;4;2.4;23.5;33.7;82052;9080;0;7.66;1.2;58.6;2024-08-28
Дубленка искусственная Befun Базовая коллекция;https://www.ozon.ru/product/1618423516;Befun;Одежда;Дубленка искусственная;Да;338020;471;58;5251.3;5828;0;100;11279;2;FBO;4;31.2;24.9;34.4;33696;2250;0;9.55;0.1;50.9;2024-07-02
Пуховик DAZHU Зима;https://www.ozon.ru/product/1679229887;DAZHU;Одежда;Пуховик;Да;337910;Нет данных;39;7733.3;8664;40549;89;13516;2;FBO;3;21;21.5;30.3;10633;1249;0.01;13.37;0;50;2024-09-02
Платье Happyfox Для женщин;https://www.ozon.ru/product/1328132191;Happyfox;Одежда;Платье;Да;337899;408;156;142.5;2166;0;100;12231;6;FBO,FBS;3;2.9;22.8;32.5;133480;8492;0.03;7.92;0;50;2023-12-07
Брюки All We;https://www.ozon.ru/product/1256175659;All We;Одежда;Брюки;Да;337848;43;143;1741.5;2363;71007;82;14201;6;FBO;4;2.7;22.6;32.2;10111;3918;0.03;10.18;4.5;51.7;2023-10-23
Джинсы BlackOff Y2K;https://www.ozon.ru/product/1555949205;BlackOff;Одежда;Джинсы;Да;337787;14;89;3585;3795;0;100;11653;3;FBO;4;1.5;21.3;30.2;50425;3789;0.03;7.7;5.5;29.6;2024-04-23
Куртка GR Group;https://www.ozon.ru/product/1690003856;GR Group;Одежда;Куртка;Да;337786;12439;36;8104;9383;160478;68;17831;2;FBO;3;21;20.7;29.4;31032;2728;0.02;5.05;0;45.4;2024-09-11
Жилет утепленный Katerina Bleska & Tamara Savin;https://www.ozon.ru/product/1481763254;Katerina Bleska & Tamara Savin;Одежда;Жилет утепленный;Да;337758;12;106;2820;3186;25490;93;12745;4;FBO;4;31.3;29.3;40;83947;6699;0.01;4.73;46.6;38.6;2024-03-19
Парка The North Face;https://www.ozon.ru/product/1688916532;The North Face;Одежда;Парка;Да;337725;980;64;3908;5277;188181;64;18818;4;FBO;6;38.8;26.5;36.3;44350;2663;0.02;7.13;0;26.9;2024-09-10
Свитер DI-TEX;https://www.ozon.ru/product/1633713445;DI-TEX;Одежда;Свитер;Да;337692;49;106;2084.3;3186;0;100;11190;3;FBO;4;8.2;23.1;32.4;138492;11373;0.02;4.07;21.7;38;2024-07-20
Пуховик;https://www.ozon.ru/product/1189348524;без бренда;Одежда;Пуховик;Да;337666;Нет данных;29;10924;11644;112889;75;16127;1;FBO;4;21.6;19.8;28.4;44916;3095;0;5.2;12.5;55.1;2023-09-13
Пуховик;https://www.ozon.ru/product/1189348291;без бренда;Одежда;Пуховик;Да;337646;1442;29;10924;11643;112549;75;16078;1;FBO;4;21.6;19.8;28.4;77704;3295;0;4.82;16.7;41.3;2023-09-13
Комбинезон утепленный Leokid;https://www.ozon.ru/product/1643685860;Leokid;Одежда;Комбинезон утепленный;Да;337642;459;37;8219;9125;0;100;12071;1;FBO;4;5.2;19.3;27.7;7359;1277;0.02;9.24;0;31.4;2024-07-31
Брюки Anna Queen;https://www.ozon.ru/product/993644567;Anna Queen;Одежда;Брюки;Да;337619;21;121;2547;2790;0;100;11748;4;FBO;4;3.5;22.4;31.7;38402;3044;0.02;14.81;2.3;48.2;2023-05-23
Комбинезон утепленный ZipkidZ Хит сезона;https://www.ozon.ru/product/1105350183;ZipkidZ;Одежда;Комбинезон утепленный;Да;337587;1638;84;3026;4019;0;100;12137;3;FBO;3;9.5;22.6;31.8;9813;1161;0.08;19.03;0;44.8;2023-07-29
Пальто утепленное КАЛЯЕВ;https://www.ozon.ru/product/1660388002;КАЛЯЕВ;Одежда;Пальто утепленное;Да;337554;513;54;4919.8;6251;0;100;11612;2;FBO;4;3.8;20.9;29.5;28592;2181;0.01;6.92;0;35.2;2024-08-16
Пальто Zarina;https://www.ozon.ru/product/1416687157;Zarina;Одежда;Пальто;Да;337550;469;69;3944.5;4892;0;100;11295;2;FBO;2;9.7;22;30.8;78056;3857;0.02;5.54;0;32.2;2024-02-06
Джемпер Zarina;https://www.ozon.ru/product/1674751734;Zarina;Одежда;Джемпер;Да;337508;231;130;1815;2596;91587;79;15264;6;FBO;5;7.4;23.3;32.9;55620;4684;0.03;7.98;0;58.4;2024-08-29
Куртка;https://www.ozon.ru/product/1643986505;без бренда;Одежда;Куртка;Да;337505;3359;82;2650;4116;0;100;11914;3;FBO;3;16.2;24.1;33.6;106647;2922;0;8.79;0;45.9;2024-07-31
Свитер BRANKI;https://www.ozon.ru/product/1396267448;BRANKI;Одежда;Свитер;Да;337468;35;103;2904.8;3276;0;100;11364;3;FBO;4;9.6;23.2;32.6;17375;4272;0.03;6.01;2.8;43.2;2024-01-20
Куртка BEEZER;https://www.ozon.ru/product/912371244;BEEZER;Одежда;Куртка;Да;337412;32;103;2167;3276;0;100;11741;4;FBO;3;8.8;23.4;32.9;91898;4580;0.01;5.02;11.5;40.8;2023-03-28
Куртка Aesthetic brand;https://www.ozon.ru/product/1696897261;Aesthetic brand;Одежда;Куртка;Да;337402;Нет данных;50;4140;6748;160902;68;17878;3;FBO;4;19.8;22.7;31.6;6421;1461;0.04;14.92;0;25.5;2024-09-18
Свитер Elyns;https://www.ozon.ru/product/1673633183;Elyns;Одежда;Свитер;Да;337400;2362;99;2486;3408;0;100;11929;4;FBO;3;4.8;22;31.1;78301;5521;0.01;5.34;6.9;54.2;2024-08-28
Костюм классический Nais;https://www.ozon.ru/product/1084815813;Nais;Одежда;Костюм классический;Да;337338;82;98;3290;3442;0;100;11201;3;FBO;6;16.1;24.7;34.4;72800;13713;0.01;3.07;13.3;30.8;2023-07-18
Куртка Trend Studio;https://www.ozon.ru/product/1401999876;Trend Studio;Одежда;Куртка;Да;337311;820;68;3880;4960;56314;86;14078;3;FBO;4;31.2;25.9;35.6;9691;1711;0;12.33;0.5;37.3;2024-01-24
Дубленка искусственная ШУБА-ПОДРУГА Для женщин;https://www.ozon.ru/product/1616025183;ШУБА-ПОДРУГА;Одежда;Дубленка искусственная;Да;337304;1650;20;15570;16865;56217;86;14054;1;FBO;4;25.2;18;26.4;5389;2158;0.05;5.88;0;40;2024-06-28
Пальто пуховое RedFox Arctic;https://www.ozon.ru/product/1239659761;RedFox;Одежда;Пальто пуховое;Да;337274;667;8;38511;42159;0;100;12046;0;FBO;4;12;15.4;23.5;6657;362;0.06;6.35;0;75;2023-10-13
Дубленка Este'e exclusive Fur&Leather;https://www.ozon.ru/product/399171891;Este'e exclusive Fur&Leather;Одежда;Дубленка;Нет;337266;Нет данных;8;40080.4;42158;112517;75;16074;0;FBS;6;23.7;15.8;23.9;7845;1480;0.01;4.39;0;42.8;2021-11-24
Куртка AMBEL;https://www.ozon.ru/product/1460248630;AMBEL;Одежда;Куртка;Да;337242;74;183;1294.5;1843;0;100;11723;6;FBO,FBS;5;10;26.7;37.4;63096;7431;0.04;6.87;0;61.9;2024-03-09
Брюки утепленные LAINA Зима;https://www.ozon.ru/product/1659475690;LAINA;Одежда;Брюки утепленные;Да;337224;2476;175;1395;1927;0;100;12060;6;FBO;4;7.1;25.2;35.4;34800;5586;0.02;10.02;0;59.1;2024-08-15
Куртка PlayToday;https://www.ozon.ru/product/650339852;PlayToday;Одежда;Куртка;Да;337222;590;53;5731.3;6363;0;100;12059;2;FBO;4;12.6;22;30.8;17301;1013;0.05;15.59;0;58.4;2022-07-22
Платье 1N.OUTLET;https://www.ozon.ru/product/1637327324;1N.OUTLET;Одежда;Платье;Да;337199;65;102;2226;3306;12359;96;12359;4;FBO;3;13.1;24.2;33.8;132980;6090;0.02;6.33;5.8;44.5;2024-07-24
Пуховик Stylish Dance;https://www.ozon.ru/product/1698112157;Stylish Dance;Одежда;Пуховик;Да;337197;Нет данных;36;8675;9367;56200;86;14050;2;FBO;4;33.3;22.1;31.1;55205;3993;0.03;5.98;3.9;58.8;2024-09-19
Джинсы SAJ Зимние;https://www.ozon.ru/product/1225575138;SAJ;Одежда;Джинсы;Да;337195;197;111;2265;3038;0;100;11740;4;FBO;4;4.5;22.5;31.9;12025;1344;0.01;16.29;0;52.7;2023-10-06
Куртка Columbia;https://www.ozon.ru/product/1673126208;Columbia;Одежда;Куртка;Да;337192;830;19;14527;17747;73520;82;14704;1;FBO;2;22;17.6;26;24206;1199;0.01;4.67;0;77.7;2024-08-28
Шуба;https://www.ozon.ru/product/1358164319;без бренда;Одежда;Шуба;Нет;337176;Нет данных;4;68897;84294;0;100;12042;0;FBS;0;46.8;15.2;23.3;2742;164;0;8.53;0;0;2023-12-25
Худи ТЕЛОДВИЖЕНИЯ;https://www.ozon.ru/product/1429878062;ТЕЛОДВИЖЕНИЯ;Одежда;Худи;Да;337173;1;132;806;2554;11964;96;11964;5;FBO;4;10.6;24.7;34.6;42680;2741;0.11;14.81;0;44.8;2024-02-21
Куртка BOSECK;https://www.ozon.ru/product/1262435722;TISINGTE;Одежда;Куртка;Да;337081;2412;80;3201;4214;12388;96;12388;3;FBO;3;25.5;25.9;35.7;103345;3545;0;7.44;1.1;37.9;2023-10-27
Комплект верхней одежды ArctiLine;https://www.ozon.ru/product/1318851766;ArctiLine;Одежда;Комплект верхней одежды;Да;337071;95;23;12153;14655;0;100;12085;1;FBO;6;22.7;18.2;26.6;3196;398;0.06;12.81;4.4;40.9;2023-12-01
Комплект одежды Happyfox Для женщин;https://www.ozon.ru/product/1084841572;Happyfox;Одежда;Комплект одежды;Да;337040;410;83;3725.1;4061;0;100;11896;3;FBO,FBS;4;14.6;23.7;33;79634;15449;0.01;3.65;5;41.2;2023-07-18
Дубленка искусственная LAWINTER;https://www.ozon.ru/product/1628724814;LAWINTER;Одежда;Дубленка искусственная;Да;336970;1415;25;12292;13479;12480;96;12480;1;FBO,FBS;6;36;19.7;28.4;25935;2868;0.01;4.56;2.5;28;2024-07-15
Костюм спортивный Rozara Унисекс;https://www.ozon.ru/product/1230788358;Rozara;Одежда;Костюм спортивный;Да;336959;118;101;2992;3336;90969;79;15162;5;FBO;4;23.9;26.8;37;31056;2842;0;11.18;0;40.4;2023-10-09
Куртка Lula Lula;https://www.ozon.ru/product/1621495549;Lula Lula;Одежда;Куртка;Да;336945;-12;61;5012.8;5524;0;100;11432;2;FBO;4;10.7;22.1;31;40460;1872;0.04;10.79;0;42.5;2024-07-05
Водолазка CHELEBI TEXTILE;https://www.ozon.ru/product/440539728;CHELEBI TEXTILE;Одежда;Водолазка;Нет;336938;55;511;1;659;112245;75;16035;24;FBO;4;1.1;28.8;42.4;59954;6419;0.07;18.13;0;66.7;2021-12-23
Комплект на выписку Ямамочка новорожденные;https://www.ozon.ru/product/1070194284;Ямамочка;Одежда;Комплект на выписку;Да;336935;2;68;4559;4955;0;100;11689;2;FBO;3;33.1;26.2;35.9;70040;6644;0.07;6.27;2.7;80.3;2023-07-09
Рубашка Cassa Marina SLIM FIT;https://www.ozon.ru/product/751018754;Cassa Marina;Одежда;Рубашка;Да;336934;-59;184;1377.8;1831;0;100;11669;6;FBO;4;6.6;25.1;35.5;26357;1599;0.06;19.01;0;55.9;2022-10-18
Куртка Yarmarka palto;https://www.ozon.ru/product/735189924;Yarmarka palto;Одежда;Куртка;Да;336934;305;55;4412.3;6126;0;100;11663;2;FBO;5;34;24.9;34.3;81686;2628;0.01;6.77;0;56.6;2022-10-05
Куртка GAZZE;https://www.ozon.ru/product/1615171392;GAZZE;Одежда;Куртка;Да;336920;176;63;4690;5348;25533;93;12767;2;FBO;3;19.3;23.5;32.7;73408;2795;0.02;5.4;11.2;53.3;2024-06-27
Куртка Осенняя коллекция;https://www.ozon.ru/product/1207455308;без бренда;Одежда;Куртка;Да;336919;37;76;3559.5;4433;210581;61;19144;4;FBO;4;17.5;23.9;33.2;23116;4179;0;5.31;0.8;45.9;2023-09-24
Куртка Outventure;https://www.ozon.ru/product/1643587835;Outventure;Одежда;Куртка;Да;336913;239;40;6485;8423;73677;82;14735;2;FBO;6;20;21.5;30.3;21589;4219;0.02;5.61;2.7;34.2;2024-07-31
Брюки Lichi;https://www.ozon.ru/product/1660988171;Lichi;Одежда;Брюки;Да;336870;22;53;5691;6356;0;100;11368;2;FBS;8;2.1;20.8;29.4;19149;1508;0.06;10.61;0;29.1;2024-08-17
Куртка SHEGUREL;https://www.ozon.ru/product/923178916;SHEGUREL;Одежда;Куртка;Да;336863;142;85;3463;3963;0;100;11901;3;FBO;4;12.6;23.5;32.8;68275;6516;0.01;4.84;6;34.9;2023-04-05
Пуховик AGB;https://www.ozon.ru/product/1649380254;без бренда;Одежда;Пуховик;Да;336854;170;21;13852;16041;38786;89;12929;1;FBO;4;42;19;27.6;10980;2303;0.02;3.16;0.3;52.3;2024-08-05
Куртка DEAMILETTI;https://www.ozon.ru/product/1629839630;DEAMILETTI;Одежда;Куртка;Да;336844;129455;36;6969;9357;160658;68;17851;2;FBO;5;2;19.2;27.6;27915;2064;0.02;6.97;0.5;48.4;2024-07-16
Костюм спортивный ПРИМАКИ Коллекция Афродиты;https://www.ozon.ru/product/1101728063;ПРИМАКИ;Одежда;Костюм спортивный;Да;336832;-44;175;1474.5;1925;24750;93;12375;6;FBO;4;4;23.7;33.8;84876;6326;0.01;10.21;0;51.1;2023-07-27
Футболка VARO;https://www.ozon.ru/product/1644348124;VARO;Одежда;Футболка;Да;336808;58;326;749.3;1033;0;100;11723;11;FBO;3;4;27.2;39;64440;5871;0.04;11.42;19.5;69.8;2024-07-31
Костюм классический Nais;https://www.ozon.ru/product/1261579552;Nais;Одежда;Костюм классический;Да;336792;5;80;3934;4210;25907;93;12954;3;FBO;4;15.3;23.6;32.9;51892;6814;0.01;4.97;0.7;26.3;2023-10-26
Комбинезон утепленный CROCKID Для девочек;https://www.ozon.ru/product/1133887397;CROCKID;Одежда;Комбинезон утепленный;Да;336781;361;63;4806.3;5346;0;100;12048;2;FBO,FBS;3;11.2;22.3;31.3;26967;1779;0.03;7.3;0;64.5;2023-08-14
Куртка Leokid;https://www.ozon.ru/product/1643822127;Leokid;Одежда;Куртка;Да;336768;1013;48;6099;7016;39543;89;13181;2;FBO;6;5.6;20.6;29.2;4013;1864;0.12;7.77;0;46.8;2024-07-31
Комбинезон утепленный НаследникЪ Выжанова Детская;https://www.ozon.ru/product/1641704751;НаследникЪ Выжанова;Одежда;Комбинезон утепленный;Да;336767;111;17;18997;19810;11732;96;11732;1;FBS;5;41;19.1;27.7;6309;484;0.01;9.09;0;62.5;2024-07-29
Пальто пуховое ArctiLine;https://www.ozon.ru/product/1348374436;ArctiLine;Одежда;Пальто пуховое;Да;336746;77;20;15325;16837;40530;89;13510;1;FBO;4;32.9;18.2;26.7;5333;515;0.05;16.31;5.7;70;2023-12-19
Брюки утепленные;https://www.ozon.ru/product/1692396620;без бренда;Одежда;Брюки утепленные;Да;336744;9664;99;2512.5;3401;0;100;12089;4;FBO;4;4.8;22.2;31.4;42452;4402;0.02;7.63;5.9;58.7;2024-09-13
Платье Denisenko Brand Premium;https://www.ozon.ru/product/1625227361;Denisenko Brand;Одежда;Платье;Да;336734;19;178;1409.3;1892;0;100;11612;6;FBO;4;2.7;23.3;33.3;150031;11699;0.02;7.58;4.7;50;2024-07-10
Костюм спортивный GALACOSO;https://www.ozon.ru/product/1220843872;GALACOSO;Одежда;Костюм спортивный;Да;336711;60;72;3220.5;4677;71311;82;14262;3;FBO;5;9.6;22.3;31.3;182152;30642;0.01;2.31;84.1;52.1;2023-10-03
Куртка кожаная XM;https://www.ozon.ru/product/1121918519;XM;Одежда;Куртка кожаная;Да;336648;29;24;13142;14027;160347;68;17816;1;FBO,FBS;9;16;18.1;26.5;8414;1417;0.02;5.01;0;60.8;2023-08-06
Комбинезон утепленный CROCKID Для девочек;https://www.ozon.ru/product/1170911679;CROCKID;Одежда;Комбинезон утепленный;Да;336634;77;55;4612.5;6121;0;100;11637;2;FBO,FBS;6;9.6;21.7;30.5;15726;1585;0.03;9.58;0.1;52.9;2023-09-04
Пальто утепленное Twin Tip;https://www.ozon.ru/product/1688798586;Twin Tip;Одежда;Пальто утепленное;Да;336628;490;59;4614;5706;291768;54;22444;4;FBO;5;44;26.6;36.3;11073;2351;0.04;8.37;0.2;29.8;2024-09-10
Комбинезон утепленный ArctLand;https://www.ozon.ru/product/1618493906;ArctLand;Одежда;Комбинезон утепленный;Да;336620;58;41;7689;8210;0;100;12026;1;FBO;7;12;20.5;29.1;13964;1427;0.02;10.3;0;47.5;2024-07-02
Комплект верхней одежды ArctiLine;https://www.ozon.ru/product/1318863125;ArctiLine;Одежда;Комплект верхней одежды;Да;336601;97;22;13007;15300;91855;79;15309;1;FBO;5;9.4;17.6;25.9;1915;235;0.05;21.7;0;66.6;2023-12-01
Куртка TOT brand;https://www.ozon.ru/product/1643153019;TOT brand;Одежда;Куртка;Да;336598;85;82;3239.3;4105;245710;57;20476;5;FBO;4;25.2;25.8;35.6;43498;2871;0.02;7.03;0;53.8;2024-07-30
Дубленка Este'e exclusive Fur&Leather;https://www.ozon.ru/product/399539275;Este'e exclusive Fur&Leather;Одежда;Дубленка;Да;336593;109;8;37661;42074;0;100;12021;0;FBS;0;23.7;15.8;23.9;11117;1476;0.05;6.09;0;50;2021-11-24
Джинсы Feimailis;https://www.ozon.ru/product/770425141;Feimailis;Одежда;Джинсы;Да;336588;129;216;1162;1558;12329;96;12329;8;FBO;4;3.5;24.3;34.7;22588;2318;0.01;18.98;0;46.3;2022-11-01
Шуба искусственная ШУБА-ПОДРУГА Для женщин;https://www.ozon.ru/product/1615697851;ШУБА-ПОДРУГА;Одежда;Шуба искусственная;Да;336473;Нет данных;23;13287;14629;0;100;12017;1;FBO;4;25.2;18.2;26.7;9533;1875;0.01;5.54;0;61.9;2024-06-28
Куртка Fila;https://www.ozon.ru/product/1608308280;Fila;Одежда;Куртка;Да;336470;174;67;3420;5022;0;100;11700;2;FBO;4;17;23.3;32.5;29483;2951;0.01;6.09;0.7;54.5;2024-06-19
Джинсы LAISE BEAUTY Палаццо;https://www.ozon.ru/product/1650489713;LAISE BEAUTY;Одежда;Джинсы;Да;336469;-27;131;1675.7;2568;0;100;11632;5;FBO;3;6.4;23.5;33.2;18692;3428;0.02;11.52;1.8;25.3;2024-08-06
Пальто утепленное ArctiLine;https://www.ozon.ru/product/1381803263;ArctiLine;Одежда;Пальто утепленное;Да;336456;40;21;12255.1;16022;112811;75;16116;1;FBO;7;43.1;19.2;27.8;3584;399;0.02;17.29;0;47.6;2024-01-11
Куртка TISINGTE;https://www.ozon.ru/product/1262437591;TISINGTE;Одежда;Куртка;Да;336445;880;64;4806;5257;0;100;12042;2;FBO;3;22.3;24.1;33.4;34759;2237;0.01;9.83;0.6;40;2023-10-27
Худи ТЕЛОДВИЖЕНИЯ;https://www.ozon.ru/product/1454243203;ТЕЛОДВИЖЕНИЯ;Одежда;Худи;Да;336390;-18;114;2321;2951;38549;89;12850;4;FBO;4;9.8;23.8;33.4;13824;1562;0.02;15.81;0;50;2024-03-06
Платье BESTPALLA;https://www.ozon.ru/product/1702241945;BESTPALLA;Одежда;Платье;Да;336388;Нет данных;95;2277.8;3541;40459;89;13486;4;FBO;4;5.3;22.3;31.5;176274;6109;0;6.22;6.9;67.4;2024-09-23
Куртка Outventure;https://www.ozon.ru/product/1630251494;Outventure;Одежда;Куртка;Да;336383;250;58;3756;5800;0;100;11837;2;FBO;4;11.2;22.1;31;16457;1889;0.01;8.99;0.8;40.3;2024-07-17
Комбинезон утепленный CROCKID Для мальчиков;https://www.ozon.ru/product/1641613371;CROCKID;Одежда;Комбинезон утепленный;Да;336377;195;56;5563;6007;187015;64;18702;3;FBS;8;9.6;21.8;30.6;16078;2247;0.08;9.34;0;67.3;2024-07-29
Куртка Jan Steen;https://www.ozon.ru/product/1681740171;Jan Steen;Одежда;Куртка;Да;336376;359;54;4992;6229;0;100;11353;2;FBO;5;17.9;22.7;31.7;62994;4348;0;4.69;0;54.9;2024-09-04
Комплект верхней одежды NIKASTYLE;https://www.ozon.ru/product/1571080340;NIKASTYLE;Одежда;Комплект верхней одежды;Да;336373;1098;39;6686;8625;73132;82;14626;2;FBO,FBS;5;25.6;21.5;30.3;6565;828;0.12;13.04;0;53.8;2024-05-10
